Make,Model,GC Number,kW Gross,kW Net,Net kW (+5%/-10%),Max CO2%,Min CO2%,Max Ratio,Max Co (PPM),Max (Burner Pressure Mb),Min (Burner Pressure Mb),Strip Service Required
Alpha,CB 28 X,4753217,34.00,30.63,27.6 - 32.2,N/A,N/A,N/A,N/A,11.7,2.5,Yes
Alpha,CD 28 C,4753233,31.64,28.50,25.7 - 29.9,N/A,N/A,N/A,N/A,7.55,0.52,If Ratio is greater than 0.003
Alpha,CD 28 X,4753237,31.86,28.70,25.8 - 30.1,N/A,N/A,N/A,N/A,8.83,0.24,If Ratio is greater than 0.003
Alpha,InTec 24 X,4753245,27.53,24.80,22.3 - 26.0,9.4 (+/-0.25),8.6 (+/- 0.25),0.003,200,6.48,0.17,If Ratio is greater than 0.003
Alpha,InTec 28 X,4753246,31.41,28.30,25.5 - 29.7,9.45 (+/-025),8.6 (+/-0.25),0.003,200,N/A,N/A,If Ratio is greater than 0.003
Ariston,E-Combi 30,4711663,33.30,30.00,27.0 - 31.5,9.0 (+/-0.2),9.0 (+/-0.2),0.004,100,N/A,N/A,Yes
Atag,iC 24,4731019,26.64,24.00,21.6 - 25.2,9.0 (+0.6/-0.4),Above 7.6 (must be 0.3 lower than max co2 reading),0.004,N/A,N/A,N/A,Yes
Atag,iC 28,4731021,30.30,27.30,24.6 - 28.7,9.0 (+0.6/-0.4),Above 7.6,0.004,N/A,N/A,N/A,Yes
Atag,iC 36,4731026,39.29,35.40,31.9 - 37.2,9.0 (+0.6/-0.4),Above 7.6,0.004,N/A,N/A,N/A,Yes
Atag,iC Economiser 27,4731027,31.41,28.30,25.5 - 29.7,9.0 (+0.6/-0.4),Above 7.6,0.004,N/A,N/A,N/A,Yes
Atag,iC Economiser 35,4731029,40.29,36.30,32.7 - 38.1,9.0 (+0.6/-0.4),Above 7.6,0.004,N/A,N/A,N/A,Yes
Baxi,EcoBlue 15 System ErP,4107024,20.51,18.48,16.6 - 19.4,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,If Ratio Is Greater Than 0.0040
Baxi,Solo 3 PFL 30,4107520,12.20,10.99,9.9 - 11.5,N/A,N/A,N/A,N/A,16.0(+/-0.5),6.4(+/-0.2),Yes
Baxi,Solo 3 PFL 40,4107521,16.26,14.65,13.2 - 15.4,N/A,N/A,N/A,N/A,16.0(+/-0.5),6.4(+/-0.2),Yes
Baxi,System 100 HE Plus,4107543,37.47,33.76,30.4 - 35.4,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Baxi,Solo 30 HE ,4107544,33.76,30.41,27.4 - 31.9,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Baxi,Solo 24 HE,4107545,24.50,22.07,19.9 - 23.2,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Baxi,Solo 15 HE,4107546,16.88,15.20,13.7 - 16.0,9.0(+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Baxi,Solo 12 HE,4107550,13.34,12.02,10.8 - 12.6,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Baxi,Solo 18 HE,4107551,20.18,18.18,16.4 - 19.1,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Baxi,Megaflo System 15 HE,4107552,17.09,15.40,13.9 - 16.2,8.7(+/-0.2),8.4(+/-0.2),0.004,N/A,N/A,N/A,Refer To M.I's
Baxi,Solo 12 HE A,4107565,13.34,12.02,10.8 - 12.6,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Baxi,Solo 15 HE A,4107566,16.88,15.21,13.7 - 16.0,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Baxi,Solo 18 HE A,4107567,20.18,18.18,16.4 - 19.1,9.0(+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Baxi,Solo 24 HE A,4107568,24.50,22.07,19.9 - 23.2,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Baxi,Solo 30 HE A,4107569,33.76,30.41,27.4 - 31.9,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Baxi,WM 552,4107710,23.53,21.20,19.1 - 22.3,N/A,N/A,N/A,N/A,17.75,7.5,Yes
Baxi,50 HE Plus,4107741,16.88,15.21,13.7 - 16.0,9 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Baxi,80 HE Plus,4107742,24.50,22.07,19.9 - 23.2,9 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Baxi,Bermuda 401,4107749,17.65,15.90,14.3 - 16.7,N/A,N/A,N/A,N/A,18.2,3.2,Yes
Baxi,Solo 2 30PF ,4107771,12.20,10.99,9.9 - 11.5,N/A,N/A,N/A,N/A,16.0(+/-0.5),8.0(+/-0.5),Yes
Baxi,Solo 2 40PF,4107772,16.26,14.65,13.2 - 15.4,N/A,N/A,N/A,N/A,16.0(+/-0.5),10(+/-0.5),Yes
Baxi,Solo 2 50PF,4107773,20.34,18.32,16.5 - 19.2,N/A,N/A,N/A,N/A,16.0(+/-0.5),11.5(+/-0.5),Yes
Baxi,Bermuda 45/4 M,4407771,24.09,21.70,19.5 - 22.8,N/A,N/A,N/A,N/A,17,10.5,Yes
Baxi,Combi 80 Eco,4707505,26.30,23.69,21.3 - 24.9,N/A,N/A,N/A,N/A,12.2 (+/-0.5),2.5 (+/-0.2),Refer To M.I's
Baxi,Combi 80 E,4707506,26.30,23.69,21.3 - 24.9,N/A,N/A,N/A,N/A,12.2 (+/-0.5),2.5 (+/-0.2),Yes
Baxi,Maxflow Combi 80,4707507,32.40,29.19,26.3 - 30.6,N/A,N/A,N/A,N/A,10.6 (+/-0.5),1.9 (+/-0.2),Refer To M.I's
Baxi,Combi 105 E,4707508,34.30,30.90,27.8 - 32.4,N/A,N/A,N/A,N/A,13.4 (+/-0.5),1.8 (+/-0.2),Yes
Baxi,Combi 133 HE Plus,4707514,45.45,40.95,36.9 - 43.0,N/A,N/A,0.002,N/A,N/A,N/A,Yes
Baxi,Combi 100 HE Plus,4707515,33.70,30.36,27.3 - 31.9,N/A,N/A,0.002,N/A,N/A,N/A,Yes
Baxi,Combi 80 HE Plus,4707516,26.95,24.28,21.9 - 25.5,N/A,N/A,0.002,N/A,N/A,N/A,Yes
Baxi,Combi Instant 80 HE,4707517,27.53,24.80,22.3 - 26.0,N/A,N/A,N/A,N/A,10.2 (+/-0.5),2.0 (+/-0.2),Yes
Baxi,105 HE Combi,4707518,33.86,30.50,27.5 - 32.0,N/A,N/A,N/A,N/A,12.1(+/-0.5),2.1(+/-0.5),Yes
Baxi,Combi Instant 105 HE,4707519,33.86,30.50,27.5 - 32.0,N/A,N/A,N/A,N/A,12.1 (+/-0.5),2.1(+/-0.2),Yes
Baxi,Platinum Combi 24 HE,4707520,27.42,24.70,22.2 - 25.9,8.7 (+/-0.2),8.4 (+/-0.2),N/A,N/A,N/A,N/A,Yes
Baxi,Platinum Combi 28 HE,4707521,32.08,28.90,26.0 - 30.3,8.7 (+/-0.2),8.4 (+/-0.2),N/A,N/A,N/A,N/A,Yes
Baxi,Platinum Combi 33 HE,4707522,37.74,34.00,30.6 - 35.7,8.7 (+/-0.2),8.4 (+/-0.2),N/A,N/A,N/A,N/A,Yes
Baxi,Duo-tec Combi 24 HE,4707523,27.42,24.70,22.2 - 25.9,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,Duo-tec Combi 33 HE,4707524,37.74,34.00,30.6 - 35.7,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,Duo-tec Combi 28 HE,4707525,32.08,28.90,26.0 - 30.3,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,Duotec Combi 40 HE,4707526,45.73,41.20,37.1 - 43.3,8.7 (+/-0.2),8.4 (+/-0.2),N/A,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,Platinum Combi 24 HE A,4707531,27.42,24.70,22.2 - 25.9,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,Platinum Combi 28 HE A,4707532,32.08,28.90,26.0 - 30.3,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,Platinum Combi 33 HE A,4707533,37.74,34.00,30.6 - 35.7,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,Platinum Combi 40 HE A,4707534,45.73,41.20,37.1 - 43.3,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,DuotecCombi 24 HE A,4707535,27.42,24.70,22.2 - 25.9,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,DuotecCombi28HE A,4707536,32.08,28.90,26.0 - 30.3,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,Duotec Combi 33 HE A,4707537,37.74,34.00,30.6 - 35.7,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,Duo-tec Combi 40 HE A,4707538,45.73,41.20,37.1 - 43.3,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,Neta-tec Combi 24 GA,4707551,27.42,24.70,22.2 - 25.9,9.0(+/-0.7),9.0(+/-0.7),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,Neta-tec Combi 28 GA,4707552,32.08,28.90,26.0 - 30.3,9.0(+/-0.7),9.0(+/-0.7),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,Neta-tec Combi 33 GA,4707553,37.74,34.00,30.6 - 35.7,9.0(+/-0.7),9.0(+/-0.7),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,Duo-tec 2 Combi 24 GA,4707554,27.42,24.70,22.2 - 25.9,9.0 (+/-0.7),9.0 (+/-0.7),0.004,N/A,N/A,N/A,Yearly Strip Service Required
Baxi,Duo-tec 2 Combi 28 GA,4707555,31.08,28.00,25.2 - 29.4,9.0 (+/-0.7),9.0 (+/-0.7),0.004,N/A,N/A,N/A,Yearly Strip Service Required
Baxi,Duo-tec 2 Combi 33 GA,4707556,37.74,34.00,30.6 - 35.7,9.0 (+/-0.7),9.0 (+/-0.7),0.004,N/A,N/A,N/A,Yearly Strip Service Required
Baxi,Duo-tec 2 Combi 40 GA,4707557,45.73,41.20,37.1 - 43.3,9.0 (+/-0.7),9.0 (+/-0.7),0.004,N/A,N/A,N/A,Yearly Strip Service Required
Baxi,Platinum 2 Combi 28 GA,4707561,32.08,28.90,26.0 - 30.3,Between 8.3 and 9.7,Between 8.3 and 9.7,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,Platinum 2 Combi 33 GA,4707562,37.74,34.00,30.6 - 35.7,Between 8.3 and 9.7,Between 8.3 and 9.7,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,Platinum 2 Combi 40 GA,4707563,45.73,41.20,37.1 - 43.3,Between 8.3 and 9.7,Between 8.3 and 9.7,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,Neta-tec Plus Combi 24 GA,4707564,27.42,24.70,22.2 - 25.9,9.0 (+/-0.7),9.0 (+/-0.7),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,Neta-tec Plus Combi 28GA,4707565,32.08,28.90,26.0 - 30.3,9.0 (+/-0.7),9.0 (+/-0.7),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,Neta-tec Plus Combi 33 GA,4707566,37.74,34.00,30.6 - 35.7,9.0 (+/-0.7),9.0 (+/-0.7),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,EcoBlue 24 Combi,4707581,27.42,24.70,22.2 - 25.9,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Baxi,EcoBlue 28 Combi,4707582,32.08,28.90,26.0 - 30.3,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Baxi,EcoBlue 33 Combi,4707583,37.74,34.00,30.6 - 35.7,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Baxi,MainEco Combi 28,4707594,31.30,28.20,25.4 - 29.6,9.15% - 9.50%,8.7% - 9.05%,0.004,N/A,N/A,N/A,Refer To M.I's
Baxi,Duo-tec 24 Combi ErP,4707596,27.40,24.68,22.2 - 25.9,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yearly Strip Service Required
Baxi,Duo-tec 28 Combi ErP,4707597,32.10,28.92,26.0 - 30.4,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yearly Strip Service Required
Baxi,Duo-tec 33 Combi ErP,4707599,37.80,34.05,30.6 - 35.8,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yearly Strip Service Required
Baxi,Combi 624,4707728,28.64,25.80,23.2 - 27.1,9.0 (+0.3/-0.2),8.5 (+0.1/-0.4),0.004,N/A,N/A,N/A,Refer To M.I's
Baxi,Assure Combi 30,4707743,34.30,30.90,27.8 - 32.4,9.0 (+0.3/-0.2),8.5 (+0.1/-0.4),0.004,N/A,N/A,N/A,Yes
Baxi,Assure 500 Combi 2 24,4707759,27.42,24.70,22.2 - 25.9,Between 8.8 and 9.4,Between 8.1 and 8.6,0.004,350,N/A,N/A,Yes
Baxi,Assure 500 Combi  2 30,4707760,34.30,30.90,27.8 - 32.4,Between 8.8 and 9.4,Between 8.1 and 8.6,0.004,350,N/A,N/A,Yes
Baxi,Assure 500 Combi  2 36,4707761,40.96,36.90,33.2 - 38.7,Between 8.8 and 9.4,Between 8.1 and 8.6,0.004,350,N/A,N/A,Yes
Glow-worm,12 hxi,4104773,13.54,12.20,11.0 - 12.8,9.3(+/-1.0),9.3(+/-1.0),0.004,N/A,N/A,N/A,Yes
Glow-worm,15hxi,4104774,16.94,15.26,13.7 - 16.0,9.3(+/-1.0),9.3(+/-1.0),0.004,N/A,N/A,N/A,Yes
Glow-worm,18 hxi,4107463,20.98,18.90,17.0 - 19.8,9.3(+/-1.0),9.3(+/-1.0),0.004,N/A,N/A,N/A,Yes
Glow-worm,18sxi,4104772,20.98,18.90,17.0 - 19.8,9.3(+/-1.0),9.3(+/-1.0),0.004,N/A,N/A,N/A,Yes
Glow-worm,24 cxi,4704723,26.77,24.12,21.7 - 25.3,9.3(+/-1.0),9.3(+/-1.0),0.004,N/A,N/A,N/A,Yes
Glow-worm,30 cxi,4704724,33.47,30.15,27.1 - 31.7,9.3(+/-1.0),9.3(+/-1.0),0.004,N/A,N/A,N/A,Yes
Glow-worm,Ultracom 2 35 cxi,4701912,39.63,35.70,32.1 - 37.5,9.2(+/-0.3),8.9(+/-0.2),0.004,N/A,N/A,N/A,Yes
Glow-worm,38 cxi,4704727,42.65,38.42,34.6 - 40.3,9.3(+/-1.0),9.3(+/-1.0),0.004,N/A,N/A,N/A,Yes
Glow-worm,45/2 BBU,4431539,17.80,16.03,14.4 - 16.8,N/A,N/A,N/A,N/A,15.2,11.4,Yes
Glow-worm,Betacom 2 28,4701917,31.08,28.00,25.2 - 29.4,9.2(+/-0.3),8.9(+/-0.3),0.004,N/A,N/A,N/A,Refer To M.I's
Glow-worm,Economy Plus 30B,4131901,10.99,9.90,8.9 - 10.4,N/A,N/A,N/A,N/A,10.5,4.7,Yes
Glow-worm,Economy Plus 30C,4131937,10.99,9.90,8.9 - 10.4,N/A,N/A,N/A,N/A,14,10.3,Yes
Glow-worm,Flexicom 12hx,4131528,13.43,12.10,10.9 - 12.7,Between 8.8 and 9.8%,Between 8.9 and 9.5%,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Glow-worm,Flexicom 15hx,4131529,16.76,15.10,13.6 - 15.9,Between 8.8 and 9.8%,Between 8.9 and 9.5%,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Glow-worm,Flexicom 18hx,4131542,20.20,18.20,16.4 - 19.1,Between 8.8 and 9.8%,Between 8.9 and 9.5%,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Glow-worm,Flexicom 18sx,4131572,20.20,18.20,16.4 - 19.1,Between 8.8 and 9.8%,Between 8.9 and 9.5%,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Glow-worm,Flexicom 24cx,4704733,28.31,25.50,23.0 - 26.8,Between 8.8 and 9.8%,Between 8.9 and 9.5%,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Glow-worm,Flexicom 35cx,4704735,39.74,35.80,32.2 - 37.6,Between 8.8 and 9.8%,Between 8.9 and 9.5%,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Glow-worm,Flexicom30cx,4704734,34.19,30.80,27.7 - 32.3,Between 8.8 and 9.8%,Between 8.9 and 9.5%,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Glow-worm,Home 25c,4701929,28.53,25.70,23.1 - 27.0,9.2(+/-1.0),N/A,0.0027,250,N/A,N/A,Every 5 Years
Glow-worm,Home 30c,4701930,33.97,30.60,27.5 - 32.1,9.2(+/-1.0),N/A,0.0027,250,N/A,N/A,Every 5 Years
Glow-worm,Micron 30FF,4104716,10.92,9.84,8.9 - 10.3,N/A,N/A,N/A,N/A,14,6.8,Yes
Glow-worm,Micron 40FF,4104717,14.47,13.04,11.7 - 13.7,N/A,N/A,N/A,N/A,14.3,7.8,Yes
Glow-worm,Micron 50FF,4704718,18.18,16.38,14.7 - 17.2,N/A,N/A,N/A,N/A,15.5,10.2,Yes
Glow-worm,Sustain 25c -A ,4701932,28.53,25.70,23.1 - 27.0,9.2(+/-1.0),N/A,0.0031,250,N/A,N/A,Every 5 Years
Glow-worm,Ultimate 50FF,4104755,17.87,16.10,14.5 - 16.9,N/A,N/A,N/A,N/A,12,8.1,Yes
Glow-worm,Ultracom 12hxi,4101901,13.54,12.20,11.0 - 12.8,between 8.5 and 9.6 (for setting gas valve refer to m.i's),between 8.5 and 9.6 (for setting gas valve refer to m.i's),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Glow-worm,Ultracom 15hxi,4101902,16.94,15.26,13.7 - 16.0,between 8.5 and 9.6 (for setting gas valve refer to m.i's),between 8.5 and 9.6 (for setting gas valve refer to m.i's),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Glow-worm,Ultracom 18hxi,4101903,20.98,18.90,17.0 - 19.8,between 8.5 and 9.6 (for setting gas valve refer to m.i's),between 8.5 and 9.6 (for setting gas valve refer to m.i's),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Glow-worm,Ultracom 18sxi,4101907,20.98,18.90,17.0 - 19.8,between 8.5 and 9.6 (for setting gas valve refer to m.i's),between 8.5 and 9.6 (for setting gas valve refer to m.i's),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Glow-worm,Ultracom 24cx,4701906,26.77,24.12,21.7 - 25.3,between 8.5 and 9.6 (for setting gas valve refer to m.i's),between 8.5 and 9.6 (for setting gas valve refer to m.i's),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Glow-worm,Ultracom 24cxi,4701901,26.77,24.12,21.7 - 25.3,between 8.5 and 9.6 (for setting gas valve refer to m.i's),between 8.5 and 9.6 (for setting gas valve refer to m.i's),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Glow-worm,Ultracom 24hxi,4101904,27.08,24.40,22.0 - 25.6,between 8.5 and 9.6 (for setting gas valve refer to m.i's),between 8.5 and 9.6 (for setting gas valve refer to m.i's),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Glow-worm,Ultracom 30cx,4701907,33.47,30.15,27.1 - 31.7,between 8.5 and 9.6 (for setting gas valve refer to m.i's),between 8.5 and 9.6 (for setting gas valve refer to m.i's),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Glow-worm,Ultracom 30cxi,4701902,33.47,30.15,27.1 - 31.7,between 8.5 and 9.6 (for setting gas valve refer to m.i's),between 8.5 and 9.6 (for setting gas valve refer to m.i's),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Glow-worm,Ultracom2 18sxi,4101913,20.54,18.50,16.7 - 19.4,9.2(+0.3/-0.3),9.2(+0.3/-0.3),0.004,N/A,N/A,N/A,Yes
Glow-worm,Ultracom2 30cxi,4701911,33.97,30.60,27.5 - 32.1,9.2(+0.3/-0.3),9.2(+0.3/-0.3),0.004,N/A,N/A,N/A,Yes
Glow-worm,Ultracom2 24cxi,4701910,28.31,25.50,23.0 - 26.8,9.2(+0.3/-0.3),9.2(+0.3/-0.3),0.004,N/A,N/A,N/A,Yes
Ideal,Classic FF 230,4138701,11.00,9.91,8.9 - 10.4,N/A,N/A,N/A,N/A,13.2,3.5,Yes
Ideal,CLASSIC FF 240,4138702,14.70,13.24,11.9 - 13.9,N/A,N/A,N/A,N/A,14.5,8.5,Yes
Ideal,Classic NF 30,4142930,11.00,9.91,8.9 - 10.4,N/A,N/A,N/A,N/A,13.9,4,Yes
Ideal,Classic NF 40,4142931,14.70,13.24,11.9 - 13.9,N/A,N/A,N/A,N/A,12.7,7.5,Yes
Ideal,Classic FF 330,4139154,10.80,9.73,8.8 - 10.2,N/A,N/A,N/A,N/A,12.4,N/A,Yes
Ideal,Logic Code Combi ESP1 26,4734935,26.97,24.30,21.9 - 25.5,N/A,N/A,0.004,350,N/A,N/A,Yes
Ideal,Exclusive 24,4734941,26.97,24.30,21.9 - 25.5,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Icos HE 12,4139795,13.54,12.20,11.0 - 12.8,N/A,N/A,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Ideal,Icos HE 15,4139783,16.76,15.10,13.6 - 15.9,N/A,N/A,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Ideal,Icos HE 24,4139785,27.08,24.40,22.0 - 25.6,N/A,N/A,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Ideal,Icos M3080,4139149,27.08,24.40,22.0 - 25.6,N/A,N/A,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Ideal,Isar HE 24,4734831,26.97,24.30,21.9 - 25.5,N/A,N/A,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Ideal,Isar HE 30,4734830,33.52,30.20,27.2 - 31.7,N/A,N/A,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Ideal,Isar HE 35,4734829,39.96,36.00,32.4 - 37.8,N/A,N/A,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Ideal,Logic Code Combi 26,4734874,26.97,24.30,21.9 - 25.5,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Logic Code Combi ES26,4734904,26.97,24.30,21.9 - 25.5,,N/A,0.004,350,N/A,N/A,Yes
Ideal,Logic Combi 24,4734856,26.97,24.30,21.9 - 25.5,,N/A,0.004,350,N/A,N/A,Yes
Ideal,Logic Combi 30,4734857,33.74,30.40,27.4 - 31.9,,N/A,0.004,350,N/A,N/A,Yes
Ideal,Logic Combi 35,4734858,39.29,35.40,31.9 - 37.2,,N/A,0.004,350,N/A,N/A,Yes
Ideal,Logic Combi C 24,4734918,26.97,24.30,21.9 - 25.5,9.5(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic Combi C 30,4734919,33.74,30.40,27.4 - 31.9,9.3(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic Combi C 35,4734920,39.29,35.40,31.9 - 37.2,9.5(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic Combi ES24,4734901,26.97,24.30,21.9 - 25.5,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Logic Combi ES30,4734902,33.74,30.40,27.4 - 31.9,,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Logic Combi ES35,4734903,39.29,35.40,31.9 - 37.2,,N/A,0.004,N/A,N/A,N/A,Yes
